日期,设备ID,理论产能(瓶),实际产能(瓶),产能利用率,运行效率,综合效率(OEE),故障次数,总故障时长(小时),备注
2025/6/12,PACKAGER_A_02,576000,400058,0.695,0.938,0.54,0,0,
2025/6/12,PACKAGER_A_03,576000,400058,0.695,0.938,0.54,0,0,
2025/6/12,PACKAGER_A_04,576000,400058,0.695,0.938,0.54,0,0,
2025/6/12,PACKAGER_A_05,576000,400058,0.695,0.938,0.54,0,0,
2025/6/12,PACKAGER_A_06,576000,400058,0.695,0.0,0.0,0,0,
2025/6/12,PACKAGER_B_01,576000,400058,0.695,0.0,0.0,0,0,
2025/6/12,PACKAGER_B_02,576000,400058,0.695,0.938,0.54,0,0,
2025/6/12,PACKAGER_B_03,576000,400058,0.695,0.938,0.54,0,0,
2025/6/12,PACKAGER_B_04,576000,400058,0.695,0.938,0.54,0,0,
2025/6/12,PACKAGER_B_05,576000,400058,0.695,0.938,0.54,0,0,
2025/6/12,PACKAGER_B_06,576000,400058,0.695,0.938,0.54,0,0,
2025/6/12,FILLER_01,537600,436578,0.812,0.938,0.746,0,0,
2025/6/12,FILLER_02,537600,436578,0.812,0.938,0.746,0,0,
2025/6/12,FILLER_03,537600,436578,0.812,0.938,0.746,0,0,
2025/6/12,FILLER_04,537600,436578,0.812,0.938,0.746,0,0,
2025/6/12,FILLER_05,537600,436578,0.812,0.938,0.746,0,0,
2025/6/12,FILLER_06,537600,436578,0.812,0.938,0.746,0,0,
2025/6/12,FILLER_07,537600,436578,0.812,0.938,0.746,0,0,
2025/6/12,FILLER_08,537600,436578,0.812,0.938,0.746,0,0,
2025/6/12,FILLER_09,537600,436578,0.812,0.938,0.746,0,0,
2025/6/12,FILLER_10,537600,436578,0.812,0.938,0.746,0,0,
2025/6/12,FILLER_11,537600,436578,0.812,0.0,0.0,0,0,
2025/6/12,STERILIZER_01,556800,2398312,1.0,0.938,0.919,0,0,
2025/6/12,STERILIZER_02,556800,2398312,1.0,0.938,0.919,0,0,
2025/6/13,PACKAGER_A_01,576000,367374,0.638,0.938,0.496,0,0,
2025/6/13,PACKAGER_A_02,576000,367374,0.638,0.0,0.0,0,0,
2025/6/13,PACKAGER_A_03,576000,367374,0.638,0.938,0.496,0,0,
2025/6/13,PACKAGER_A_04,576000,367374,0.638,0.938,0.496,0,0,
2025/6/13,PACKAGER_A_05,576000,367374,0.638,0.938,0.496,0,0,
2025/6/13,PACKAGER_A_06,576000,367374,0.638,0.938,0.496,0,0,
2025/6/13,PACKAGER_B_01,576000,367374,0.638,0.938,0.496,0,0,
2025/6/13,PACKAGER_B_02,576000,367374,0.638,0.938,0.496,0,0,
2025/6/13,PACKAGER_B_03,576000,367374,0.638,0.0,0.0,0,0,
2025/6/13,PACKAGER_B_04,576000,367374,0.638,0.0,0.0,0,0,
2025/6/13,PACKAGER_B_05,576000,367374,0.638,0.938,0.496,0,0,
2025/6/13,PACKAGER_B_06,576000,367374,0.638,0.938,0.496,0,0,
2025/6/13,FILLER_01,537600,438573,0.816,0.938,0.75,0,0,
2025/6/13,FILLER_02,537600,438573,0.816,0.938,0.75,0,0,
2025/6/13,FILLER_03,537600,438573,0.816,0.938,0.75,0,0,
2025/6/13,FILLER_04,537600,438573,0.816,0.938,0.75,0,0,
2025/6/13,FILLER_05,537600,438573,0.816,0.938,0.75,0,0,
2025/6/13,FILLER_06,537600,438573,0.816,0.938,0.75,0,0,
2025/6/13,FILLER_07,537600,438573,0.816,0.938,0.75,0,0,
2025/6/13,FILLER_08,537600,438573,0.816,0.938,0.75,0,0,
2025/6/13,FILLER_09,537600,438573,0.816,0.0,0.0,0,0,
2025/6/13,FILLER_10,537600,438573,0.816,0.938,0.75,0,0,
2025/6/13,FILLER_11,537600,438573,0.816,0.938,0.75,0,0,
2025/6/13,STERILIZER_01,556800,2409177,1.0,0.938,0.919,0,0,
2025/6/13,STERILIZER_02,556800,2409177,1.0,0.938,0.919,0,0,
2025/6/14,PACKAGER_A_01,576000,399444,0.693,0.938,0.54,0,0,
2025/6/14,PACKAGER_A_02,576000,399444,0.693,0.938,0.54,0,0,
2025/6/14,PACKAGER_A_03,576000,399444,0.693,0.938,0.54,0,0,
2025/6/14,PACKAGER_A_04,576000,399444,0.693,0.938,0.54,0,0,
2025/6/14,PACKAGER_A_05,576000,399444,0.693,0.938,0.54,0,0,
2025/6/14,PACKAGER_A_06,576000,399444,0.693,0.938,0.54,0,0,
2025/6/14,PACKAGER_B_01,576000,399444,0.693,0.938,0.54,0,0,
2025/6/14,PACKAGER_B_02,576000,399444,0.693,0.938,0.54,0,0,
2025/6/14,PACKAGER_B_03,576000,399444,0.693,0.938,0.54,0,0,
2025/6/14,PACKAGER_B_04,576000,399444,0.693,0.938,0.54,0,0,
2025/6/14,PACKAGER_B_05,576000,399444,0.693,0.938,0.54,0,0,
2025/6/14,PACKAGER_B_06,576000,399444,0.693,0.938,0.54,0,0,
2025/6/14,FILLER_01,537600,474014,0.882,0.938,0.81,0,0,
2025/6/14,FILLER_02,537600,474014,0.882,0.938,0.81,0,0,
2025/6/14,FILLER_03,537600,474014,0.882,0.938,0.81,0,0,
2025/6/14,FILLER_04,537600,474014,0.882,0.938,0.81,0,0,
2025/6/14,FILLER_05,537600,474014,0.882,0.938,0.81,0,0,
2025/6/14,FILLER_06,537600,474014,0.882,0.938,0.81,0,0,
2025/6/14,FILLER_07,537600,474014,0.882,0.938,0.81,0,0,
2025/6/14,FILLER_08,537600,474014,0.882,0.938,0.81,0,0,
2025/6/14,FILLER_09,537600,474014,0.882,0.938,0.81,0,0,
2025/6/14,FILLER_10,537600,474014,0.882,0.938,0.81,0,0,
2025/6/14,FILLER_11,537600,474014,0.882,0.938,0.81,0,0,
2025/6/14,STERILIZER_01,556800,2603724,1.0,0.938,0.919,0,0,
2025/6/14,STERILIZER_02,556800,2603724,1.0,0.938,0.919,0,0,
2025/6/15,PACKAGER_A_01,576000,349677,0.607,0.938,0.472,0,0,
2025/6/15,PACKAGER_A_02,576000,349677,0.607,0.938,0.472,0,0,
2025/6/15,PACKAGER_A_03,576000,349677,0.607,0.938,0.472,0,0,
2025/6/15,PACKAGER_A_04,576000,349677,0.607,0.938,0.472,0,0,
2025/6/15,PACKAGER_A_05,576000,349677,0.607,0.938,0.472,0,0,
2025/6/15,PACKAGER_A_06,576000,349677,0.607,0.938,0.472,0,0,
2025/6/15,PACKAGER_B_01,576000,349677,0.607,0.938,0.472,0,0,
2025/6/15,PACKAGER_B_02,576000,349677,0.607,0.938,0.472,0,0,
2025/6/15,PACKAGER_B_03,576000,349677,0.607,0.938,0.472,0,0,
2025/6/15,PACKAGER_B_04,576000,349677,0.607,0.938,0.472,0,0,
2025/6/15,PACKAGER_B_05,576000,349677,0.607,0.938,0.472,0,0,
2025/6/15,PACKAGER_B_06,576000,349677,0.607,0.938,0.472,0,0,
2025/6/15,FILLER_01,537600,72349,0.135,0.938,0.124,0,0,
2025/6/15,FILLER_02,537600,72349,0.135,0.938,0.124,0,0,
2025/6/15,FILLER_03,537600,72349,0.135,0.938,0.124,0,0,
2025/6/15,FILLER_04,537600,72349,0.135,0.938,0.124,0,0,
2025/6/15,FILLER_05,537600,72349,0.135,0.938,0.124,0,0,
2025/6/15,FILLER_06,537600,72349,0.135,0.0,0.0,0,0,
2025/6/15,FILLER_07,537600,72349,0.135,0.938,0.124,0,0,
2025/6/15,FILLER_08,537600,72349,0.135,0.938,0.124,0,0,
2025/6/15,FILLER_09,537600,72349,0.135,0.938,0.124,0,0,
2025/6/15,FILLER_10,537600,72349,0.135,0.938,0.124,0,0,
2025/6/15,FILLER_11,537600,72349,0.135,0.938,0.124,0,0,
2025/6/15,STERILIZER_01,556800,397386,0.714,0.938,0.656,0,0,
2025/6/15,STERILIZER_02,556800,397386,0.714,0.938,0.656,0,0,
2025/6/16,PACKAGER_A_01,576000,215971,0.375,0.938,0.292,0,0,
2025/6/16,PACKAGER_A_02,576000,215971,0.375,0.938,0.292,0,0,
2025/6/16,PACKAGER_A_03,576000,215971,0.375,0.938,0.292,0,0,
2025/6/16,PACKAGER_A_04,576000,215971,0.375,0.0,0.0,0,0,
2025/6/16,PACKAGER_A_05,576000,215971,0.375,0.938,0.292,0,0,
2025/6/16,PACKAGER_A_06,576000,215971,0.375,0.938,0.292,0,0,
2025/6/16,PACKAGER_B_01,576000,215971,0.375,0.938,0.292,0,0,
2025/6/16,PACKAGER_B_02,576000,215971,0.375,0.938,0.292,0,0,
2025/6/16,PACKAGER_B_03,576000,215971,0.375,0.938,0.292,0,0,
2025/6/16,PACKAGER_B_04,576000,215971,0.375,0.938,0.292,0,0,
2025/6/16,PACKAGER_B_05,576000,215971,0.375,0.938,0.292,0,0,
2025/6/16,PACKAGER_B_06,576000,215971,0.375,0.938,0.292,0,0,
2025/6/16,FILLER_01,537600,327972,0.61,0.938,0.56,0,0,
2025/6/16,FILLER_02,537600,327972,0.61,0.938,0.56,0,0,
2025/6/16,FILLER_03,537600,327972,0.61,0.938,0.56,0,0,
2025/6/16,FILLER_04,537600,327972,0.61,0.938,0.56,0,0,
2025/6/16,FILLER_05,537600,327972,0.61,0.938,0.56,0,0,
2025/6/16,FILLER_06,537600,327972,0.61,0.938,0.56,0,0,
2025/6/16,FILLER_07,537600,327972,0.61,0.938,0.56,0,0,
2025/6/16,FILLER_08,537600,327972,0.61,0.0,0.0,0,0,
2025/6/16,FILLER_09,537600,327972,0.61,0.938,0.56,0,0,
2025/6/16,FILLER_10,537600,327972,0.61,0.938,0.56,0,0,
2025/6/16,FILLER_11,537600,327972,0.61,0.938,0.56,0,0,
2025/6/16,STERILIZER_01,556800,1801574,1.0,0.938,0.919,0,0,
2025/6/16,STERILIZER_02,556800,1801574,1.0,0.938,0.919,0,0,
2025/6/17,PACKAGER_A_01,576000,244855,0.425,0.938,0.331,0,0,
2025/6/17,PACKAGER_A_02,576000,244855,0.425,0.938,0.331,0,0,
2025/6/17,PACKAGER_A_03,576000,244855,0.425,0.938,0.331,0,0,
2025/6/17,PACKAGER_A_04,576000,244855,0.425,0.938,0.331,0,0,
2025/6/17,PACKAGER_A_05,576000,244855,0.425,0.938,0.331,0,0,
2025/6/17,PACKAGER_A_06,576000,244855,0.425,0.938,0.331,0,0,
2025/6/17,PACKAGER_B_01,576000,244855,0.425,0.938,0.331,0,0,
2025/6/17,PACKAGER_B_02,576000,244855,0.425,0.938,0.331,0,0,
2025/6/17,PACKAGER_B_03,576000,244855,0.425,0.938,0.331,0,0,
2025/6/17,PACKAGER_B_04,576000,244855,0.425,0.938,0.331,0,0,
2025/6/17,PACKAGER_B_05,576000,244855,0.425,0.938,0.331,0,0,
2025/6/17,PACKAGER_B_06,576000,244855,0.425,0.938,0.331,0,0,
2025/6/17,FILLER_01,537600,433425,0.806,0.938,0.741,0,0,
2025/6/17,FILLER_02,537600,433425,0.806,0.938,0.741,0,0,
2025/6/17,FILLER_03,537600,433425,0.806,0.938,0.741,0,0,
2025/6/17,FILLER_04,537600,433425,0.806,0.938,0.741,0,0,
2025/6/17,FILLER_05,537600,433425,0.806,0.938,0.741,0,0,
2025/6/17,FILLER_06,537600,433425,0.806,0.938,0.741,0,0,
2025/6/17,FILLER_07,537600,433425,0.806,0.0,0.0,0,0,
2025/6/17,FILLER_08,537600,433425,0.806,0.938,0.741,0,0,
2025/6/17,FILLER_09,537600,433425,0.806,0.938,0.741,0,0,
2025/6/17,FILLER_10,537600,433425,0.806,0.938,0.741,0,0,
2025/6/17,FILLER_11,537600,433425,0.806,0.938,0.741,0,0,
2025/6/17,STERILIZER_01,556800,2380869,1.0,0.938,0.919,0,0,
2025/6/17,STERILIZER_02,556800,2380869,1.0,0.0,0.0,0,0,
2025/6/18,PACKAGER_A_01,576000,365948,0.635,0.938,0.494,0,0,
2025/6/18,PACKAGER_A_02,576000,365948,0.635,0.938,0.494,0,0,
2025/6/18,PACKAGER_A_03,576000,365948,0.635,0.938,0.494,0,0,
2025/6/18,PACKAGER_A_04,576000,365948,0.635,0.938,0.494,0,0,
2025/6/18,PACKAGER_A_05,576000,365948,0.635,0.938,0.494,0,0,
2025/6/18,PACKAGER_A_06,576000,365948,0.635,0.938,0.494,0,0,
2025/6/18,PACKAGER_B_01,576000,365948,0.635,0.938,0.494,0,0,
2025/6/18,PACKAGER_B_02,576000,365948,0.635,0.938,0.494,0,0,
2025/6/18,PACKAGER_B_03,576000,365948,0.635,0.938,0.494,0,0,
2025/6/18,PACKAGER_B_04,576000,365948,0.635,0.0,0.0,0,0,
2025/6/18,PACKAGER_B_05,576000,365948,0.635,0.938,0.494,0,0,
2025/6/18,PACKAGER_B_06,576000,365948,0.635,0.938,0.494,0,0,
2025/6/18,FILLER_01,537600,401877,0.748,0.938,0.687,0,0,
2025/6/18,FILLER_02,537600,401877,0.748,0.938,0.687,0,0,
2025/6/18,FILLER_03,537600,401877,0.748,0.0,0.0,0,0,
2025/6/18,FILLER_04,537600,401877,0.748,0.938,0.687,0,0,
2025/6/18,FILLER_05,537600,401877,0.748,0.938,0.687,0,0,
2025/6/18,FILLER_06,537600,401877,0.748,0.938,0.687,0,0,
2025/6/18,FILLER_07,537600,401877,0.748,0.938,0.687,0,0,
2025/6/18,FILLER_08,537600,401877,0.748,0.938,0.687,0,0,
2025/6/18,FILLER_09,537600,401877,0.748,0.938,0.687,0,0,
2025/6/18,FILLER_10,537600,401877,0.748,0.938,0.687,0,0,
2025/6/18,FILLER_11,537600,401877,0.748,0.938,0.687,0,0,
2025/6/18,STERILIZER_01,556800,2207597,1.0,0.938,0.919,0,0,
2025/6/18,STERILIZER_02,556800,2207597,1.0,0.938,0.919,0,0,
2025/6/19,PACKAGER_A_01,576000,432878,0.752,0.938,0.585,0,0,
2025/6/19,PACKAGER_A_02,576000,432878,0.752,0.938,0.585,0,0,
2025/6/19,PACKAGER_A_03,576000,432878,0.752,0.938,0.585,0,0,
2025/6/19,PACKAGER_A_04,576000,432878,0.752,0.938,0.585,0,0,
2025/6/19,PACKAGER_A_05,576000,432878,0.752,0.938,0.585,0,0,
2025/6/19,PACKAGER_A_06,576000,432878,0.752,0.938,0.585,0,0,
2025/6/19,PACKAGER_B_01,576000,432878,0.752,0.938,0.585,0,0,
2025/6/19,PACKAGER_B_02,576000,432878,0.752,0.938,0.585,0,0,
2025/6/19,PACKAGER_B_03,576000,432878,0.752,0.938,0.585,0,0,
2025/6/19,PACKAGER_B_04,576000,432878,0.752,0.938,0.585,0,0,
2025/6/19,PACKAGER_B_05,576000,432878,0.752,0.938,0.585,0,0,
2025/6/19,PACKAGER_B_06,576000,432878,0.752,0.938,0.585,0,0,
2025/6/19,FILLER_01,537600,435680,0.81,0.0,0.0,0,0,
2025/6/19,FILLER_02,537600,435680,0.81,0.938,0.745,0,0,
2025/6/19,FILLER_03,537600,435680,0.81,0.938,0.745,0,0,
2025/6/19,FILLER_04,537600,435680,0.81,0.938,0.745,0,0,
2025/6/19,FILLER_05,537600,435680,0.81,0.938,0.745,0,0,
2025/6/19,FILLER_06,537600,435680,0.81,0.938,0.745,0,0,
2025/6/19,FILLER_07,537600,435680,0.81,0.938,0.745,0,0,
2025/6/19,FILLER_08,537600,435680,0.81,0.938,0.745,0,0,
2025/6/19,FILLER_09,537600,435680,0.81,0.938,0.745,0,0,
2025/6/19,FILLER_10,537600,435680,0.81,0.938,0.745,0,0,
2025/6/19,FILLER_11,537600,435680,0.81,0.938,0.745,0,0,
2025/6/19,STERILIZER_01,556800,2393360,1.0,0.938,0.919,0,0,
2025/6/19,STERILIZER_02,556800,2393360,1.0,0.938,0.919,0,0,
2025/6/2,PACKAGER_A_01,576000,232753,0.404,0.938,0.314,0,0,
2025/6/2,PACKAGER_A_02,576000,232753,0.404,0.938,0.314,0,0,
2025/6/2,PACKAGER_A_03,576000,232753,0.404,0.938,0.314,0,0,
2025/6/2,PACKAGER_A_04,576000,232753,0.404,0.938,0.314,0,0,
2025/6/2,PACKAGER_A_05,576000,232753,0.404,0.938,0.314,0,0,
2025/6/2,PACKAGER_A_06,576000,232753,0.404,0.938,0.314,0,0,
2025/6/2,PACKAGER_B_01,576000,232753,0.404,0.938,0.314,0,0,
2025/6/2,PACKAGER_B_02,576000,232753,0.404,0.938,0.314,0,0,
2025/6/2,PACKAGER_B_03,576000,232753,0.404,0.938,0.314,0,0,
2025/6/2,PACKAGER_B_04,576000,232753,0.404,0.938,0.314,0,0,
2025/6/2,PACKAGER_B_05,576000,232753,0.404,0.938,0.314,0,0,
2025/6/2,PACKAGER_B_06,576000,232753,0.404,0.938,0.314,0,0,
2025/6/2,FILLER_01,537600,362655,0.675,0.938,0.62,0,0,
2025/6/2,FILLER_02,537600,362655,0.675,0.938,0.62,0,0,
2025/6/2,FILLER_03,537600,362655,0.675,0.938,0.62,0,0,
2025/6/2,FILLER_04,537600,362655,0.675,0.938,0.62,0,0,
2025/6/2,FILLER_05,537600,362655,0.675,0.938,0.62,0,0,
2025/6/2,FILLER_06,537600,362655,0.675,0.938,0.62,0,0,
2025/6/2,FILLER_07,537600,362655,0.675,0.938,0.62,0,0,
2025/6/2,FILLER_08,537600,362655,0.675,0.938,0.62,0,0,
2025/6/2,FILLER_09,537600,362655,0.675,0.938,0.62,0,0,
2025/6/2,FILLER_10,537600,362655,0.675,0.938,0.62,0,0,
2025/6/2,FILLER_11,537600,362655,0.675,0.938,0.62,0,0,
2025/6/2,STERILIZER_01,556800,1992578,1.0,0.938,0.919,0,0,
2025/6/2,STERILIZER_02,556800,1992578,1.0,0.938,0.919,0,0,
2025/6/20,PACKAGER_A_01,576000,366251,0.636,0.938,0.495,0,0,
2025/6/20,PACKAGER_A_02,576000,366251,0.636,0.938,0.495,0,0,
2025/6/20,PACKAGER_A_03,576000,366251,0.636,0.938,0.495,0,0,
2025/6/20,PACKAGER_A_04,576000,366251,0.636,0.0,0.0,0,0,
2025/6/20,PACKAGER_A_05,576000,366251,0.636,0.938,0.495,0,0,
2025/6/20,PACKAGER_A_06,576000,366251,0.636,0.938,0.495,0,0,
2025/6/20,PACKAGER_B_01,576000,366251,0.636,0.938,0.495,0,0,
2025/6/20,PACKAGER_B_02,576000,366251,0.636,0.938,0.495,0,0,
2025/6/20,PACKAGER_B_03,576000,366251,0.636,0.938,0.495,0,0,
2025/6/20,PACKAGER_B_04,576000,366251,0.636,0.938,0.495,0,0,
2025/6/20,PACKAGER_B_05,576000,366251,0.636,0.938,0.495,0,0,
2025/6/20,PACKAGER_B_06,576000,366251,0.636,0.938,0.495,0,0,
2025/6/20,FILLER_01,537600,435411,0.81,0.938,0.744,0,0,
2025/6/20,FILLER_02,537600,435411,0.81,0.938,0.744,0,0,
2025/6/20,FILLER_03,537600,435411,0.81,0.938,0.744,0,0,
2025/6/20,FILLER_04,537600,435411,0.81,0.938,0.744,0,0,
2025/6/20,FILLER_05,537600,435411,0.81,0.0,0.0,0,0,
2025/6/20,FILLER_06,537600,435411,0.81,0.938,0.744,0,0,
2025/6/20,FILLER_07,537600,435411,0.81,0.938,0.744,0,0,
2025/6/20,FILLER_08,537600,435411,0.81,0.938,0.744,0,0,
2025/6/20,FILLER_09,537600,435411,0.81,0.938,0.744,0,0,
2025/6/20,FILLER_10,537600,435411,0.81,0.938,0.744,0,0,
2025/6/20,FILLER_11,537600,435411,0.81,0.938,0.744,0,0,
2025/6/20,STERILIZER_01,556800,2391829,1.0,0.938,0.919,0,0,
2025/6/20,STERILIZER_02,556800,2391829,1.0,0.938,0.919,0,0,
2025/6/21,PACKAGER_A_01,576000,342137,0.594,0.938,0.462,0,0,
2025/6/21,PACKAGER_A_02,576000,342137,0.594,0.938,0.462,0,0,
2025/6/21,PACKAGER_A_03,576000,342137,0.594,0.938,0.462,0,0,
2025/6/21,PACKAGER_A_04,576000,342137,0.594,0.938,0.462,0,0,
2025/6/21,PACKAGER_A_05,576000,342137,0.594,0.938,0.462,0,0,
2025/6/21,PACKAGER_A_06,576000,342137,0.594,0.938,0.462,0,0,
2025/6/21,PACKAGER_B_01,576000,342137,0.594,0.938,0.462,0,0,
2025/6/21,PACKAGER_B_02,576000,342137,0.594,0.938,0.462,0,0,
2025/6/21,PACKAGER_B_03,576000,342137,0.594,0.938,0.462,0,0,
2025/6/21,PACKAGER_B_04,576000,342137,0.594,0.938,0.462,0,0,
2025/6/21,PACKAGER_B_05,576000,342137,0.594,0.938,0.462,0,0,
2025/6/21,PACKAGER_B_06,576000,342137,0.594,0.938,0.462,0,0,
2025/6/21,FILLER_01,537600,399393,0.743,0.938,0.683,0,0,
2025/6/21,FILLER_02,537600,399393,0.743,0.938,0.683,0,0,
2025/6/21,FILLER_03,537600,399393,0.743,0.938,0.683,0,0,
2025/6/21,FILLER_04,537600,399393,0.743,0.938,0.683,0,0,
2025/6/21,FILLER_05,537600,399393,0.743,0.938,0.683,0,0,
2025/6/21,FILLER_06,537600,399393,0.743,0.938,0.683,0,0,
2025/6/21,FILLER_07,537600,399393,0.743,0.938,0.683,0,0,
2025/6/21,FILLER_08,537600,399393,0.743,0.938,0.683,0,0,
2025/6/21,FILLER_09,537600,399393,0.743,0.938,0.683,0,0,
2025/6/21,FILLER_10,537600,399393,0.743,0.938,0.683,0,0,
2025/6/21,FILLER_11,537600,399393,0.743,0.938,0.683,0,0,
2025/6/21,STERILIZER_01,556800,2194122,1.0,0.938,0.919,0,0,
2025/6/21,STERILIZER_02,556800,2194122,1.0,0.938,0.919,0,0,
2025/6/22,PACKAGER_A_01,576000,213778,0.371,0.938,0.289,0,0,
2025/6/22,PACKAGER_A_02,576000,213778,0.371,0.938,0.289,0,0,
2025/6/22,PACKAGER_A_03,576000,213778,0.371,0.938,0.289,0,0,
2025/6/22,PACKAGER_A_04,576000,213778,0.371,0.938,0.289,0,0,
